"Source:","C:\Users\Mati\Desktop\ProyectoEA3\Proyecto\Oscilador\Oscilador.kicad_sch"
"Date:","1/12/2022 09:34:59"
"Tool:","Eeschema (6.0.9)"
"Generator:","D:\Programas\Kicad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","28"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","100p","CAP","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm","Capacitor symbol for simulation only",""
"C3, ","1","680p","CAP","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm","Capacitor symbol for simulation only",""
"C4, ","1","2.2n","CAP","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm","Capacitor symbol for simulation only",""
"C5, ","1","1n","CAP","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm","Capacitor symbol for simulation only",""
"C10, ","1","10n","CAP","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm","Capacitor symbol for simulation only",""
"C11, ","1","0.1u","CAP","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm","Capacitor symbol for simulation only",""
"C12, ","1","0.01u","CAP","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm","Capacitor symbol for simulation only",""
"C13, ","1","0.001u","CAP","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm","Capacitor symbol for simulation only",""
"C20, ","1","100p","C_Variable","","Variable capacitor",""
"D1, ","1","D_Capacitance_Filled","D_Capacitance_Filled","","Variable capacitance diode, filled shape",""
"J1, ","1","Conn_Coaxial","Conn_Coaxial","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",""
"J2, J3, J4, ","3","Screw_Terminal_01x02","Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"JP1, JP2, ","2","Jumper_2_Open","Jumper_2_Open","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","Jumper, 2-pole, open",""
"L1, ","1","300n","L","Inductor_THT:L_Radial_D13.5mm_P7.00mm_Fastron_09HCP","Inductor",""
"Q1, Q2, Q3, Q4, ","4","2N3904","2N3904","Package_TO_SOT_THT:TO-92_Inline","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92",""
"R1, ","1","50k","R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","Resistor",""
"R4, R5, ","2","5k","R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","Resistor",""
"RE1, RE2, ","2","560","R","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","Resistor",""
"Rpol1, ","1","1k","R_Trim","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","Trimmable resistor (preset resistor)",""
